Year,Population,Production,Imports,Beginning stocks,Total supply,Exports,Shipments to U.S. territories5,Ending stocks,Carcass,Retail,Boneless,Carcass per capita,Retail per capita,Boneless per capita
1909,"90,490","14.740,0","2,0",NA,"14.742,0","698,0","5,0",NA,"14.044,00","12.083,70","9.200,00","155,20","133,5","101,7"
1910,"92,407","13.998,0","3,0",NA,"14.001,0","474,0","5,0",NA,"13.527,00","11.631,80","8.867,30","146,40","125,9",96
1911,"93,863","14.869,0","3,0",NA,"14.872,0","608,0","5,0",NA,"14.264,00","12.325,00","9.317,70","152,00","131,3","99,3"
1912,"95,335","14.453,0","5,0",NA,"14.458,0","557,0","5,0",NA,"13.901,00","12.024,10","9.075,80","145,80","126,1","95,2"
1913,"97,225","14.475,0","45,0",NA,"14.520,0","552,0","5,0",NA,"13.968,00","12.088,00","9.112,20","143,70","124,3","93,7"
1914,"99,111","14.103,0","328,0",NA,"14.431,0","554,0","5,0",NA,"13.877,00","12.005,70","9.053,00","140,00","121,1","91,3"
1915,"100,546","14.886,0","130,0",NA,"15.016,0","1455,0","5,0",NA,"13.561,00","11.781,90","8.820,40","134,90","117,2","87,7"
1916,"101,961","15.907,0","39,0","574,0","16.520,0","1425,0","5,0","804,00","14.291,00","12.413,30","9.297,70","140,20","121,7","91,2"
1917,"103,414","15.501,0","61,0","804,0","16.366,0","1452,0","5,0","926,00","13.988,00","12.039,20","9.163,40","135,30","116,4","88,6"
1918,"104,550","17.341,0","381,0","926,0","18.648,0","2766,0","5,0","1.071,00","14.811,00","12.735,70","9.707,50","141,70","121,8","92,8"
1919,"105,063","16.642,0","95,0","1.071,0","17.808,0","2305,0","5,0","907,00","14.596,00","12.629,20","9.531,40","138,90","120,2","90,7"
1920,"106,461","15.334,0","166,0","907,0","16.407,0","1173,0","5,0","745,00","14.489,00","12.553,60","9.454,10","136,10","117,9","88,8"
1921,"108,538","15.178,0","60,0","745,0","15.983,0","938,0","5,0","506,00","14.539,00","12.635,00","9.466,40","134,00","116,4","87,2"
1922,"110,049","16.138,0","53,0","506,0","16.697,0","844,0","5,0","691,00","15.162,00","13.150,50","9.883,00","137,80","119,5","89,8"
1923,"111,947","17.708,0","40,0","691,0","18.439,0","1130,0","5,0","817,00","16.492,00","14.361,60","10.717,70","147,30","128,3","95,7"
1924,"114,109","17.595,0","46,0","817,0","18.458,0","855,0","5,0","793,00","16.810,00","14.639,90","10.925,90","147,30","128,3","95,7"
1925,"115,829","16.598,0","49,0","793,0","17.440,0","661,0","5,0","559,00","16.220,00","14.076,20","10.572,80","140,00","121,5","91,3"
1926,"117,397","16.649,0","92,0","559,0","17.300,0","522,0","5,0","579,00","16.199,00","14.030,10","10.572,90","138,00","119,5","90,1"
1927,"119,035","16.321,0","167,0","579,0","17.067,0","415,0","5,0","604,00","16.048,00","13.974,10","10.429,70","134,80","117,4","87,6"
1928,"120,509","16.248,0","207,0","604,0","17.059,0","424,0","5,0","775,00","15.860,00","13.885,60","10.263,00","131,60","115,2","85,2"
1929,"121,767","16.147,0","264,0","775,0","17.186,0","472,0","5,0","730,00","15.984,00","13.975,60","10.352,30","131,30","114,8",85
1930,"123,188","16.016,0","140,0","730,0","16.886,0","400,0","5,0","601,00","15.885,00","13.881,30","10.297,60","128,90","112,7","83,6"
1931,"124,149","16.456,0","57,0","601,0","17.114,0","284,0","5,0","618,00","16.212,00","14.181,70","10.503,50","130,60","114,2","84,6"
1932,"124,949","16.418,0","69,0","618,0","17.105,0","209,0","5,0","537,00","16.359,00","14.346,00","10.578,80","130,90","114,8","84,7"
1933,"125,690","17.417,0","107,0","537,0","18.061,0","243,0","5,0","724,00","17.094,00","14.940,00","11.081,50","136,00","118,9","88,2"
1934,"126,485","18.839,0","120,0","724,0","19.683,0","269,0","5,0","1.227,00","18.187,00","15.729,10","11.890,80","143,80","124,4",94
1935,"127,362","14.427,0","212,0","1.227,0","15.866,0","191,0","5,0","740,00","14.935,00","12.883,10","9.795,60","117,30","101,2","76,9"
1936,"128,181","16.761,0","271,0","740,0","17.772,0","174,0","5,0","871,00","16.727,00","14.416,80","10.964,70","130,50","112,5","85,5"
1937,"128,961","15.709,0","307,0","871,0","16.887,0","167,0","5,0","463,00","16.257,00","14.067,60","10.631,20","126,10","109,1","82,4"
1938,"129,969","16.479,0","257,0","463,0","17.199,0","207,0","5,0","492,00","16.500,00","14.301,20","10.770,30","127,00",110,"82,9"
1939,"131,028","17.534,0","264,0","492,0","18.290,0","246,0","5,0","551,00","17.493,00","15.211,70","11.386,20","133,50","116,1","86,9"
1940,"132,122","19.076,0","174,0","551,0","19.801,0","221,0","5,0","768,00","18.812,00","16.424,60","12.202,90","142,40","124,3","92,4"
1941,"133,402","19.569,0","269,0","768,0","20.606,0","546,0","5,0","678,00","19.382,00","16.812,10","12.633,20","145,30",126,"94,7"
1942,"134,860","21.912,0","214,0","678,0","22.804,0","1270,0","5,0","1.121,00","20.413,00","17.662,10","13.333,60","151,40",131,"98,9"
1943,"136,739","24.482,0","235,0","1.121,0","25.838,0","2351,0","5,0","1.353,00","22.134,00","19.329,30","14.353,20","161,90","141,4",105
1944,"138,397","25.178,0","190,0","1.353,0","26.721,0","1916,0","5,0","700,00","24.105,00","21.035,30","15.665,80","174,20",152,"113,2"
1945,"139,928","23.691,0","130,0","700,0","24.521,0","1240,0","5,0","973,00","22.308,00","19.308,30","14.590,10","159,40",138,"104,3"
1946,"141,389","22.923,0","20,0","973,0","23.916,0","1183,0","5,0","480,00","22.253,00","19.357,30","14.488,00","157,40","136,9","102,5"
1947,"144,126","23.338,0","64,0","480,0","23.882,0","341,0","5,0","727,00","22.814,00","19.711,80","14.927,10","158,30","136,8","103,6"
1948,"146,631","21.300,0","360,0","727,0","22.387,0","138,0","5,0","665,00","21.584,00","18.698,80","14.091,30","147,20","127,5","96,1"
1949,"149,188","21.662,0","261,0","665,0","22.588,0","142,0","5,0","625,00","21.821,00","18.885,80","14.247,10","146,30","126,6","95,5"
1950,"151,684","22.075,0","384,0","625,0","23.084,0","135,0","5,0","670,00","22.279,00","19.295,10","14.530,70","146,90","127,2","95,8"
1951,"154,287","21.898,0","542,0","670,0","23.110,0","157,0","5,0","798,00","22.155,00","19.271,10","14.393,40","143,60","124,9","93,3"
1952,"156,954","22.994,0","506,0","798,0","24.298,0","185,0","5,0","797,00","23.316,00","20.234,00","15.177,30","148,60","128,9","96,7"
1953,"159,565","24.688,0","438,0","797,0","25.923,0","196,0","5,0","609,00","25.118,00","21.530,60","16.512,30","157,40","134,9","103,5"
1954,"162,391","25.214,0","418,0","609,0","26.241,0","171,0","5,0","668,00","25.402,00","21.635,30","16.735,60","156,40","133,2","103,1"
1955,"165,275","29.382,0","446,0","668,0","30.496,0","224,0","5,0","656,00","29.616,00","22.956,70","19.358,20","179,20","138,9","117,1"
1956,"168,221","30.639,0","398,0","656,0","31.693,0","289,0","5,0","556,00","30.848,00","23.837,30","20.191,80","183,40","141,7",120
1957,"171,274","29.257,0","576,0","556,0","30.389,0","302,0","5,0","346,00","29.741,00","22.919,00","19.521,00","173,60","133,8",114
1958,"174,141","27.877,0","1.184,0","346,0","29.407,0","194,0","5,0","405,00","28.808,00","22.100,80","18.928,90","165,40","126,9","108,7"
1959,"177,073","29.864,0","1.392,0","405,0","31.661,0","228,0","5,0","491,00","30.942,00","23.642,00","20.315,40","174,70","133,5","114,7"
1960,"180,671","30.535,0","1.085,0","491,0","32.111,0","224,0","5,0","366,00","31.521,00","24.024,60","20.787,30","174,50",133,"115,1"
1961,"183,691","30.849,0","1.362,0","366,0","32.577,0","226,0","5,0","429,00","31.922,00","24.254,90","21.127,10","173,80",132,115
1962,"186,538","31.098,0","1.838,0","429,0","33.365,0","212,0","5,0","446,00","32.707,00","24.769,40","21.688,20","175,30","132,8","116,3"
1963,"189,242","32.645,0","2.084,0","446,0","35.175,0","298,0","5,0","590,00","34.287,00","25.854,90","22.810,60","181,20","136,6","120,5"
1964,"191,889","34.779,0","1.477,0","590,0","36.846,0","351,0","5,0","625,00","35.870,00","27.034,10","24.127,60","186,90","140,9","125,7"
1965,"194,303","33.176,0","1.396,0","625,0","35.197,0","250,0","5,0","405,00","34.542,00","26.025,80","23.343,40","177,80","133,9","120,1"
1966,"196,560","34.054,0","1.770,0","404,2","36.228,2","251,0","5,0","539,70","35.437,50","26.696,20","24.029,90","180,30","135,8","122,3"
1967,"198,712","35.752,0","1.889,0","539,7","38.180,7","264,0","5,0","558,20","37.358,50","28.147,50","25.360,60",188,"141,6","127,6"
1968,"200,706","36.699,0","2.127,0","558,2","39.384,2","309,0","5,0","550,50","38.524,70","29.027,60","26.214,60","191,9","144,6","130,6"
1969,"202,677","36.580,0","2.243,0","550,5","39.373,5","353,0","5,0","622,90","38.397,60","28.926,60","26.217,20","189,5","142,7","129,4"
1970,"205,052","37.522,0","2.429,0","623,0","40.574,0","124,5","5,0","760,80","39.688,70","29.899,00","27.174,40","193,6","145,8","132,5"
1971,"207,661","39.012,0","2.355,0","760,8","42.127,8","146,4","5,0","785,20","41.196,30","31.061,60","28.261,70","198,4","149,6","136,1"
1972,"209,896","37.836,0","2.682,0","785,2","41.303,2","205,7","5,0","763,70","40.333,80","30.398,80","27.774,80","192,2","144,8","132,3"
1973,"211,909","35.370,0","2.607,0","763,7","38.740,7","326,6","5,0","954,80","37.459,20","28.215,80","25.876,90","176,8","133,2","122,1"
1974,"213,854","38.418,0","2.160,0","954,8","41.532,8","206,4","5,0","925,60","40.400,80","30.441,10","27.983,00","188,9","142,3","130,9"
1975,"215,973","37.038,0","2.248,0","925,6","40.211,6","336,8","5,0","778,20","39.096,60","29.438,80","27.164,10",181,"136,3","125,8"
1976,"218,035","39.880,0","2.600,4","778,2","43.258,6","409,7","189,0","905,20","41.754,70","31.431,40","29.079,40","191,5","144,2","133,4"
1977,"220,239","39.710,0","2.425,0","905,2","43.040,2","398,4","185,0","678,80","41.778,00","31.473,40","29.148,60","189,7","142,9","132,3"
1978,"222,585","38.575,0","2.856,2","678,8","42.110,0","453,6","192,0","860,00","40.604,50","30.599,80","28.386,70","182,4","137,5","127,5"
1979,"225,055","37.624,0","2.975,3","860,0","41.459,3","461,3","211,0","834,60","39.952,40","30.181,30","28.006,70","177,5","134,1","124,4"
