Year,Total,Fresh,Total,Canned,Juice,Frozen,Dried,Other
1970,"238,000","100,6","137,4","26,2","96,7","3,9","10,0","0,65"
1971,"242,400","100,8","141,6","26,6","100,5","4,0","10,0","0,64"
1972,"232,050","94,4","137,7","24,2","101,7","4,0","7,2","0,65"
1973,"236,010","96,7","139,3","24,5","100,0","4,1","10,2","0,60"
1974,"235,830","96,1","139,8","24,0","101,8","3,3","9,7","0,96"
1975,"252,480","101,3","151,2","23,5","113,9","3,0","10,3","0,42"
1976,"258,070","101,9","156,2","23,4","115,5","3,4","13,6","0,33"
1977,"268,950","99,6","169,4","24,4","131,2","3,3","9,9","0,55"
1978,"260,260","103,6","156,6","24,1","119,4","3,7","8,6","0,84"
1979,"251,230","99,9","151,3","25,0","112,5","3,1","10,1","0,58"
1980,"266,030","106,4","159,7","24,6","119,7","3,3","11,3","0,73"
1981,"262,090","103,4","158,7","21,0","124,6","3,0","9,7","0,38"
1982,"263,820","108,1","155,8","22,1","117,8","3,3","12,1","0,50"
1983,"280,420","110,7","169,7","20,1","134,2","3,3","11,8","0,41"
1984,"267,290","112,7","154,6","19,7","118,3","3,4","12,8","0,43"
1985,"270,880","110,9","160,0","20,9","122,5","3,5","12,9","0,31"
1986,"279,310","118,8","160,5","21,1","123,4","4,1","11,6","0,38"
1987,"276,910","121,7","155,2","21,0","117,7","4,2","12,2","0,30"
1988,"267,300","121,5","145,8","20,8","105,7","4,1","15,0","0,27"
1989,"274,320","123,1","151,2","21,5","111,5","4,6","13,3","0,23"
1990,"270,960","117,3","153,6","21,1","115,8","4,3","12,2","0,30"
1991,"268,820","113,0","155,8","19,8","118,9","4,3","12,4","0,40"
1992,"269,810","124,3","145,5","22,8","106,9","4,3","10,9","0,61"
1993,"283,320","123,3","160,0","20,6","122,1","4,3","12,7","0,33"
1994,"287,960","125,3","162,6","20,8","124,0","4,5","12,9","0,51"
1995,"274,980","123,4","151,6","17,3","116,4","4,7","12,8","0,29"
1996,"286,510","126,7","159,9","18,6","125,4","4,4","11,3","0,23"
1997,"286,670","130,2","156,4","20,1","120,6","4,4","10,7","0,66"
1998,"299,970","129,4","170,6","17,1","136,4","4,5","12,2","0,35"
1999,"284,920","130,5","154,4","19,3","120,2","4,2","10,3","0,45"
2000,"288,160","128,7","159,5","17,6","126,5","4,5","10,6","0,33"
2001,"281,160","125,9","155,2","17,8","122,4","4,9","9,9","0,25"
2002,"275,920","127,1","148,8","16,9","117,2","4,1","10,5","0,18"
2003,"280,180","128,2","152,0","17,4","119,3","5,1","9,9","0,36"
2004,"279,350","127,8","151,5","17,0","120,3","4,3","9,4","0,45"
2005,"270,790","125,3","145,5","16,7","112,9","5,2","10,1","0,55"
2006,"269,590","127,9","141,7","15,6","109,9","5,0","10,6","0,60"
2007,"262,030","123,2","138,8","16,1","107,0","5,3","9,9","0,53"
2008,"257,390","126,7","130,7","15,7","99,4","4,9","9,9","0,79"
2009,"254,320","124,0","130,4","15,6","100,3","4,9","9,0","0,63"
2010,"255,870","128,6","127,3","15,0","97,2","5,1","9,3","0,71"
2011,"254,500","129,4","125,1","14,2","95,6","4,7","9,6","0,99"
2012,"244,540","131,8","112,7","13,3","85,2","4,6","9,1","0,58"
2013,"254,930","136,5","118,5","15,2","87,6","4,8","10,0","0,82"
2014,"250,270","136,5","113,8","13,8","84,3","5,6","9,3","0,78"
2015,"252,670","136,1","116,6","14,4","85,5","5,6","10,2","0,83"
2016,"255,770","141,6","114,1","13,7","84,8","5,0","9,7","0,84"
2017,"252,170","142,3","109,9","13,4","81,2","4,7","9,5","1,06"
2018,"240,870","140,1","100,7","12,0","80,0","4,9","3,0","0,77"
1958,"174,141","27.877,0","1.184,0","346,0","29.407,0","194,0","5,0","405,00"
1959,"177,073","29.864,0","1.392,0","405,0","31.661,0","228,0","5,0","491,00"
