Year,Population,Production,Foreign imports,Puerto Rico imports,Total,Beginning stocks,Total supply,Exports,Net change in stocks,Refining loss adjustement,Nonfood use,Ending stocks,Total,Total refined,Per capita availability refined
1960,"180,671","4.009,0","4.885,0","903,0","5.788,0","2.080,0","11.877,0","46,0","-107,0",50,"24,00","2.430,00","9.434,00","17.633,60","97,6"
1961,"183,691","4.268,0","4.407,0","997,0","5.404,0","2.430,0","12.102,0","55,0","40,0",62,"32,00","2.302,00","9.611,00","17.964,50","97,8"
1962,"186,538","4.399,0","4.682,0","915,0","5.597,0","2.302,0","12.298,0","66,0","15,0",49,"31,00","2.367,00","9.770,00","18.261,70","97,9"
1963,"189,242","4.871,0","4.594,0","891,0","5.485,0","2.367,0","12.723,0","30,0","159,0",39,"7,00","2.637,00","9.851,00","18.413,10","97,3"
1964,"191,889","5.587,0","3.633,0","809,0","4.442,0","2.637,0","12.666,0","21,0","-161,0",59,"15,00","2.794,00","9.938,00","18.575,70","96,8"
1965,"194,303","5.370,0","4.027,0","834,0","4.861,0","2.794,0","13.025,0","89,0","-42,0",52,"41,00","2.805,00","10.080,00","18.841,10",97
1966,"196,560","5.279,0","4.495,0","717,0","5.212,0","2.805,0","13.296,0","65,0","101,0",58,"79,00","2.758,00","10.235,00","19.130,80","97,3"
1967,"198,712","5.297,0","4.804,0","705,0","5.509,0","2.758,0","13.564,0","72,0","-188,0",66,"199,00","2.941,00","10.474,00","19.577,60","98,5"
1968,"200,706","5.627,0","5.130,0","504,0","5.634,0","2.941,0","14.202,0","79,0","291,0",51,"82,00","3.043,00","10.656,00","19.917,80","99,2"
1969,"202,677","5.482,0","4.886,0","342,0","5.228,0","3.043,0","13.753,0","82,0","-273,0",57,"68,00","2.869,00","10.950,00","20.467,30",101
1970,"205,052","5.874,0","5.296,0","353,0","5.649,0","2.869,0","14.392,0","66,0","185,0",60,"83,00","2.835,00","11.163,00","20.865,40","101,8"
1971,"207,661","5.815,0","5.587,0","144,0","5.731,0","2.835,0","14.381,0","89,0","-7,0",70,"61,00","2.823,00","11.345,00","21.205,60","102,1"
1972,"209,896","6.015,0","5.459,0","149,0","5.608,0","2.823,0","14.446,0","50,0","-21,0",45,"62,00","2.823,00","11.487,00","21.471,00","102,3"
1973,"211,909","6.061,0","5.329,0","79,0","5.408,0","2.823,0","14.292,0","26,0","91,0",69,"31,00","2.646,00","11.429,00","21.362,60","100,8"
1974,"213,854","5.662,0","5.770,0","157,0","5.927,0","2.646,0","14.235,0","72,0","305,0",51,"8,00","2.854,00","10.945,00","20.457,90","95,7"
1975,"215,973","6.300,0","3.882,0","96,0","3.978,0","2.854,0","13.132,0","216,0","-277,0",35,"0,00","2.856,00","10.302,00","19.256,10","89,2"
1976,"218,035","6.798,0","4.658,0","203,0","4.861,0","2.856,0","14.515,0","76,0","-24,0",72,"0,00","3.498,00","10.893,00","20.360,70","93,4"
1977,"220,239","6.089,0","6.138,0","102,0","6.240,0","3.498,0","15.827,0","35,0","188,0",14,"0,00","4.491,00","11.099,00","20.745,80","94,2"
1978,"222,585","5.602,0","4.683,0","52,0","4.735,0","4.491,0","14.828,0","48,0","29,0",108,"0,00","3.754,00","10.889,00","20.353,30","91,4"
1979,"225,055","5.793,0","5.027,0","47,0","5.074,0","3.754,0","14.621,0","73,0","-12,0",103,"0,00","3.701,00","10.756,00","20.104,70","89,3"
1980,"227,726","5.736,0","4.495,0","178,0","4.673,0","3.701,0","14.110,0","689,0","72,0",78,"0,00","3.082,00","10.189,00","19.044,90","83,6"
1981,"229,966","6.224,0","5.025,0","49,0","5.074,0","3.082,0","14.380,0","1191,0","-94,0",53,"0,00","3.461,00","9.769,00","18.259,80","79,4"
1982,"232,188","5.934,0","2.964,0","80,0","3.044,0","3.461,0","12.439,0","137,0","28,0",53,"0,00","3.068,00","9.153,00","17.108,40","73,7"
1983,"234,307","5.680,0","3.080,0","67,0","3.147,0","3.068,0","11.895,0","300,0","141,0",72,"0,00","2.570,00","8.812,00","16.471,00","70,3"
1984,"236,348","5.890,0","3.444,0","24,0","3.468,0","2.570,0","11.928,0","447,0","-18,0",58,"8,00","3.005,00","8.428,00","15.753,30","66,7"
1985,"238,466","5.967,0","2.797,0","36,0","2.833,0","3.005,0","11.805,0","481,0","-69,0",122,"142,00","3.126,00","8.003,00","14.958,90","62,7"
1986,"240,651","6.267,0","2.223,0","31,0","2.254,0","3.126,0","11.647,0","582,0","51,0",28,"30,00","3.225,00","7.731,00","14.450,50",60
1987,"242,804","7.309,0","1.546,0","12,0","1.558,0","3.225,0","12.092,0","604,0","145,0",18,"27,00","3.195,00","8.103,00","15.145,80","62,4"
